sku,visibility,price,special_price,errors
KAN-AP-20PF06-2,"Not Visible Individually",7800,3900,
KAN-AP-20PF07-1,"Not Visible Individually",4500,2250,
KAN-AP-20PF07-2,"Not Visible Individually",4500,2250,
KAN-AP-20PF07-3,"Not Visible Individually",4500,2250,
KAN-AP-20PF08-1,"Not Visible Individually",7100,3550,
KAN-AP-20PF08-2,"Not Visible Individually",7100,3550,
KAN-AP-20PF08-3,"Not Visible Individually",7100,3550,
KAN-AP-20PF09-1,"Not Visible Individually",8000,4000,
KAN-AP-20PF09-2,"Not Visible Individually",8000,4000,
KAN-AP-20PF09-3,"Not Visible Individually",8000,4000,
KAN-AP-20PF10-1,"Not Visible Individually",10700,5350,
KAN-AP-20PF10-2,"Not Visible Individually",10700,5350,
KAN-AP-20PF11-1,"Not Visible Individually",8200,4100,
KAN-AP-20PF11-2,"Not Visible Individually",8200,4100,
KAN-AP-20PF11-3,"Not Visible Individually",8200,4100,
KAN-AP-20PF12-1,"Not Visible Individually",7800,3900,
KAN-AP-20PF12-2,"Not Visible Individually",7800,3900,
KAN-AP-20PF12-3,"Not Visible Individually",7800,3900,
KAN-AP-20PF13-1,"Not Visible Individually",7600,3800,
KAN-AP-20PF13-2,"Not Visible Individually",7600,3800,
KAN-AP-20PF13-3,"Not Visible Individually",7600,3800,
KAN-AP-20PF14-1,"Not Visible Individually",7600,3800,
KAN-AP-20PF14-2,"Not Visible Individually",7600,3800,
KAN-AP-20PF14-3,"Not Visible Individually",7600,3800,
KAN-AP-20PF15-1,"Not Visible Individually",8200,4100,
KAN-AP-20PF15-2,"Not Visible Individually",8200,4100,
KAN-AP-20PF15-3,"Not Visible Individually",8200,4100,
KAN-AP-20PF16-1,"Not Visible Individually",13600,6800,
KAN-AP-20PF16-2,"Not Visible Individually",13600,6800,
KAN-AP-20PF16-3,"Not Visible Individually",13600,6800,
KAN-AP-20PF17-1,"Not Visible Individually",9700,4850,
KAN-AP-20PF17-2,"Not Visible Individually",9700,4850,
KAN-AP-20PF17-3,"Not Visible Individually",9700,4850,
KAN-AP-20PF18-1,"Not Visible Individually",3900,1950,
KAN-AP-20PF18-2,"Not Visible Individually",3900,1950,
KAN-AP-20PF18-3,"Not Visible Individually",3900,1950,
KAN-AP-20PF19-1,"Not Visible Individually",8000,4000,
KAN-AP-20PF19-2,"Not Visible Individually",8000,4000,
KAN-AP-20PF20-1,"Not Visible Individually",11500,5750,
KAN-AP-20PF20-2,"Not Visible Individually",11500,5750,
KAN-AP-20PF20-3,"Not Visible Individually",11500,5750,
KAN-AP-20PF21-1,"Not Visible Individually",7000,3500,
KAN-AP-20PF21-2,"Not Visible Individually",7000,3500,
KAN-AP-20PF21-3,"Not Visible Individually",7000,3500,
KAN-AP-20PF22-1,"Not Visible Individually",4500,2250,
KAN-AP-20PF22-2,"Not Visible Individually",4500,2250,
KAN-AP-20PF22-3,"Not Visible Individually",4500,2250,
KAN-AP-20PF23-1,"Not Visible Individually",5200,2600,
KAN-AP-20PF23-2,"Not Visible Individually",5200,2600,
KAN-AP-20PF24-1,"Not Visible Individually",9300,4650,
KAN-AP-20PF24-3,"Not Visible Individually",9300,4650,
KAN-AP-20PF25-1,"Not Visible Individually",7300,3650,
KAN-AP-20PF25-2,"Not Visible Individually",7300,3650,
KAN-AP-20PF26-1,"Not Visible Individually",6900,3450,
KAN-AP-20PF26-2,"Not Visible Individually",6900,3450,
KAN-AP-20PF27-1,"Not Visible Individually",9800,4900,
KAN-AP-20PF27-2,"Not Visible Individually",9800,4900,
KAN-AP-20PF27-3,"Not Visible Individually",9800,4900,
KAN-AP-20PF28-1,"Not Visible Individually",5800,2900,
KAN-AP-20PF28-2,"Not Visible Individually",5800,2900,
KAN-AP-20PF28-3,"Not Visible Individually",5800,2900,
KAN-AP-20PF29-1,"Not Visible Individually",4000,2000,
KAN-AP-20PF29-2,"Not Visible Individually",4000,2000,
KAN-AP-20PF29-3,"Not Visible Individually",4000,2000,
KAN-AP-20S08-1,"Not Visible Individually",9800,5880,
KAN-AP-20S08-2,"Not Visible Individually",9800,5880,
KAN-AP-20S08-3,"Not Visible Individually",9800,5880,
KAN-AP-20S08-4,"Not Visible Individually",9800,5880,
KAN-AP-20S08-5,"Not Visible Individually",9800,5880,
KAN-AP-20S08-6,"Not Visible Individually",9800,5880,
