Processed,base_image,small_image,thumbnail_image,additional_images
KAN-AP-20S45,20S45 KANELLE_WOMENS COAT (1).jpg,20S45 KANELLE_WOMENS COAT (1).jpg,20S45 KANELLE_WOMENS COAT (1).jpg,"20S45 KANELLE_WOMENS COAT (2).jpg,20S45 KANELLE_WOMENS COAT (3).jpg"
KAN-AP-20S46,20S46 KANELLE_WOMENS SAREE (1).jpg,20S46 KANELLE_WOMENS SAREE (1).jpg,20S46 KANELLE_WOMENS SAREE (1).jpg,"20S46 KANELLE_WOMENS SAREE (2).jpg,20S46 KANELLE_WOMENS SAREE (3).jpg"
KAN-AP-20S47,20S47 KANELLE_WOMENS TOP (2).jpg,20S47 KANELLE_WOMENS TOP (2).jpg,20S47 KANELLE_WOMENS TOP (2).jpg,"20S47 KANELLE_WOMENS TOP (1).jpg,20S47 KANELLE_WOMENS TOP (3).jpg"
KAN-AP-20S48,20S48 KANELLE_WOMENS SAREE (1).jpg,20S48 KANELLE_WOMENS SAREE (1).jpg,20S48 KANELLE_WOMENS SAREE (1).jpg,"20S48 KANELLE_WOMENS SAREE (2).jpg,20S48 KANELLE_WOMENS SAREE (3).jpg"
KAN-AP-20S49,20S49 KANELLE_WOMENS TOP (2).jpg,20S49 KANELLE_WOMENS TOP (2).jpg,20S49 KANELLE_WOMENS TOP (2).jpg,20S49 KANELLE_WOMENS TOP (1).jpg
KAN-AP-20S50,20S50 KANELLE_WOMENS SAREE (1).jpg,20S50 KANELLE_WOMENS SAREE (1).jpg,20S50 KANELLE_WOMENS SAREE (1).jpg,"20S50 KANELLE_WOMENS SAREE (2).jpg,20S50 KANELLE_WOMENS SAREE (3).jpg,20S50 KANELLE_WOMENS SAREE (4).jpg"
KAN-AP-20S51,20S51 KANELLE_WOMENS TOP (1).jpg,20S51 KANELLE_WOMENS TOP (1).jpg,20S51 KANELLE_WOMENS TOP (1).jpg,"20S51 KANELLE_WOMENS TOP (2).jpg,20S51 KANELLE_WOMENS TOP (3).jpg"
KAN-AP-20PF01,KAN-AP-20PF01-(A).jpg,KAN-AP-20PF01-(A).jpg,KAN-AP-20PF01-(A).jpg,"KAN-AP-20PF01-(B).jpg,KAN-AP-20PF01-(C).jpg,KAN-AP-20PF01-(D).jpg"
KAN-AP-20PF02,KAN-AP-20PF02-(A).jpg,KAN-AP-20PF02-(A).jpg,KAN-AP-20PF02-(A).jpg,"KAN-AP-20PF02-(C).jpg,KAN-AP-20PF02-(D).jpg,KAN-AP-20PF02-(E).jpg"
KAN-AP-20PF03,KAN-AP-20PF03-(A).jpg,KAN-AP-20PF03-(A).jpg,KAN-AP-20PF03-(A).jpg,"KAN-AP-20PF03-(C).jpg,KAN-AP-20PF03-(D).jpg,KAN-AP-20PF03-(E).jpg"
